car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Kia Seltos GTX Plus 1.4 [2020-2021],₹ 16.9 Lakh,"28,100",Petrol,Ahmedabad,2020
Skoda Octavia Elegance 2.0 TDI AT,₹ 7.99 Lakh,"63,000",Diesel,Delhi,2014
Maruti Suzuki Wagon R 1.0 LXI CNG (O),₹ 4.3 Lakh,"26,600",CNG,Pune,2016
Mahindra XUV500 W8,₹ 5.75 Lakh,"55,105",Diesel,Kolkata,2013
Hyundai Eon Era +,₹ 3.3 Lakh,"42,748",Petrol,Chennai,2017
Audi Q7 45 TDI Technology Pack,₹ 59.5 Lakh,"51,000",Diesel,Ahmedabad,2018
Audi A6 35 TDI Matrix,₹ 25 Lakh,"76,000",Diesel,Ahmedabad,2018
Hyundai Elite i20 Sportz 1.2,₹ 6.13 Lakh,"35,247",Petrol,Pune,2017
Hyundai Elite i20 Sportz 1.2,₹ 5.59 Lakh,"30,183",Petrol,Kolkata,2019
Mercedes-Benz GLS 350 d,₹ 68 Lakh,"88,000",Diesel,Hyderabad,2018
MG Hector Sharp 1.5 DCT Petrol [2019-2020],₹ 16.99 Lakh,"7,870",Petrol,Kolkata,2021
Mahindra XUV500 W10,₹ 14.9 Lakh,"50,000",Diesel,Chennai,2018
BMW 3 Series 320d Luxury Line,₹ 17.1 Lakh,"46,000",Diesel,Delhi,2015
Maruti Suzuki Celerio VXi AMT [2017-2019],₹ 4.9 Lakh,"28,726",Petrol,Thane,2018
Maruti Suzuki Wagon R 1.0 LXI,₹ 3.13 Lakh,"32,907",Petrol,Delhi,2014
Maruti Suzuki Alto 800 Vxi,₹ 3.32 Lakh,"29,092",Petrol,Kolkata,2019
Hyundai Creta 1.6 S Petrol,₹ 7.45 Lakh,"62,461",Petrol,Mumbai,2016
Skoda Rapid Ambition 1.6 MPI MT,₹ 3.85 Lakh,"60,000",Petrol,Noida,2012
Jaguar XF 3.0 V6 Premium Luxury,₹ 26.5 Lakh,"62,645",Diesel,Hyderabad,2015
Toyota Innova 2.5 G BS III 7 STR,₹ 9.75 Lakh,"83,000",Diesel,Ahmedabad,2015
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.5 Lakh,"55,000",Petrol,Ahmedabad,2015
Toyota Fortuner 2.8 4x4 AT [2016-2020],₹ 35 Lakh,"1,81,213 ",Diesel,Hyderabad,2019
Maruti Suzuki Dzire VXi AMT,₹ 6.9 Lakh,"25,000",Petrol,Delhi,2020
Datsun GO T [2018-2019],₹ 2.35 Lakh,"52,000",Petrol,Ahmedabad,2018
Ford EcoSport Titanium 1.0 Ecoboost,₹ 4.51 Lakh,"38,203",Petrol,Kolkata,2013
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.06 Lakh,"64,942",CNG,Delhi,2017
Maruti Suzuki Baleno Delta 1.2,₹ 5.4 Lakh,"47,837",Petrol,Delhi,2018
Maruti Suzuki Ertiga Vxi,₹ 5 Lakh,"85,000",Petrol ,Thiruvallur,2013
Mercedes-Benz CLA 200 CDI Sport,₹ 16.49 Lakh,"51,500",Diesel,Kolkata,2015
Skoda Octavia 1.8 TSI L&K,₹ 21 Lakh,"23,160",Petrol,Hyderabad,2018
Toyota Corolla Altis G Petrol,₹ 6.95 Lakh,"75,000",Petrol,Thane,2015
Toyota Corolla Altis 1.8 G AT,₹ 8.83 Lakh,"63,000",Petrol,Delhi,2014
BMW 3 Series 320d Luxury Line,₹ 15.5 Lakh,"1,04,264 ",Diesel,Hyderabad,2013
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 6.59 Lakh,"15,972",Petrol,Delhi,2017
Hyundai Eon Magna [2011-2012],₹ 3.2 Lakh,"33,146",Petrol,Ahmedabad,2015
Maruti Suzuki Swift VXi [2014-2017],₹ 6.74 Lakh,"30,956",Petrol,Chennai,2020
Renault Kiger RXT Turbo CVT Dual Tone,₹ 9.98 Lakh,"4,371",Petrol,Kolkata,2022
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],₹ 10.75 Lakh,"63,653",Diesel,Hyderabad,2020
Honda City 1.5 V MT,₹ 4.05 Lakh,"55,297",Petrol,Thane,2013
Porsche Cayenne Turbo,₹ 78.57 Lakh,"12,000",Petrol,Ahmedabad,2015
Maruti Suzuki Swift DZire VXI,₹ 4.17 Lakh,"21,391",Petrol,Kolkata,2014
Renault Kwid CLIMBER 1.0 (O),₹ 4.83 Lakh,"11,546",Petrol,Delhi,2021
Hyundai Santro Sportz,₹ 5.89 Lakh,"16,270",Petrol,Pune,2020
Nissan Micra XV Diesel,₹ 2.9 Lakh,"73,000",Diesel,Ahmedabad,2012
Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,₹ 5.49 Lakh,"53,000",Petrol,Hyderabad,2018
Mercedes-Benz CLA 200 Petrol Sport,₹ 19.25 Lakh,"34,000",Petrol,Mumbai,2016
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 10.64 Lakh,"16,328",Petrol,Pune,2019
Land Rover Range Rover Evoque SE R-Dynamic Petrol,₹ 77 Lakh,"5,600",Petrol,Thane,2021
Maruti Suzuki S-Cross Alpha 1.3,₹ 7.6 Lakh,"73,994",Diesel,Hyderabad,2016
Hyundai Verna SX (O) AT Anniversary Edition 1.6 VTVT,₹ 10.59 Lakh,"43,920",Petrol,Bangalore,2019
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.17 Lakh,"17,715",Petrol,Kolkata,2014
Toyota Corolla Altis G Petrol,₹ 10.4 Lakh,"82,902",Petrol,Delhi,2018
Land Rover Range Rover Sport SDV6 SE,₹ 1.23 Crore,"39,012",Diesel,Thane,2019
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.71 Lakh,"23,344",Petrol,Hyderabad,2018
Hyundai Verna 1.6 VTVT SX (O),₹ 7.49 Lakh,"93,494",Petrol,Kolkata,2019
Honda Jazz V AT Petrol,₹ 7.25 Lakh,"27,222",Petrol,Mumbai,2018
Hyundai Creta S 1.5 Diesel [2020-2022],₹ 16 Lakh,"14,468",Diesel,Hyderabad,2021
Honda Jazz V Diesel,₹ 7.47 Lakh,"40,000",Diesel ,Pallikarnai,2017
Maruti Suzuki Ciaz ZXI+,₹ 5.75 Lakh,"65,000",Petrol,Thane,2015
Maruti Suzuki Alto K10 LXi,₹ 1.9 Lakh,"60,028",Petrol,Delhi,2012
Mercedes-Benz CLA 200 CDI Sport,₹ 29.5 Lakh,"37,300",Diesel,Bangalore,2018
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 11.25 Lakh,"32,143",Petrol,Mumbai,2018
Hyundai Elite i20 Asta 1.2 [2016-2017],₹ 6.45 Lakh,"55,669",Petrol,Chennai,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.05 Lakh,"72,757",Petrol,Delhi,2016
Honda City SV CVT,₹ 8.75 Lakh,"56,000",Petrol,Ahmedabad,2017
Maruti Suzuki Swift VXi ABS,₹ 3.26 Lakh,"70,244",Petrol,Kolkata,2013
BMW X1 sDrive20d xLine,₹ 21.45 Lakh,"46,595",Diesel,Delhi,2018
Maruti Suzuki XL6 Zeta MT Petrol,₹ 9.51 Lakh,"20,703",Petrol,Ahmedabad,2020
Tata Harrier XZ [2019-2020],₹ 14.65 Lakh,"47,579",Diesel,Mumbai,2019
BMW X1 sDrive20d xLine,₹ 28 Lakh,"31,000",Diesel,Kolkata,2019
Mercedes-Benz GLE 350 d,₹ 58 Lakh,"31,300",Diesel,Ahmedabad,2019
Ford EcoSport Titanium.5L TDCi Black Edition,₹ 7.5 Lakh,"52,157",Diesel,Hyderabad,2016
Mahindra XUV500 W6 AT,₹ 9.5 Lakh,"91,000",Diesel,Ahmedabad,2016
Audi A6 2.0 TDI Premium,₹ 21 Lakh,"69,631",Diesel,Hyderabad,2013
Hyundai i20 Active 1.2 S,₹ 6.11 Lakh,"32,036",Petrol,Mumbai,2018
Mercedes-Benz AMG GLA35 4MATIC,₹ 64.5 Lakh,"2,000",Petrol,Chennai,2022
Hyundai Elite i20 Asta 1.2,₹ 6 Lakh,"22,621",Petrol,Kolkata,2018
Honda City VX,₹ 6.25 Lakh,"45,000",Petrol,Thane,2015
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,₹ 11.26 Lakh,"33,423",Petrol,Pune,2019
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.5 Lakh,"31,500",Petrol,Ahmedabad,2015
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.25 Lakh,"51,000",Petrol,Thane,2017
Renault Duster 85 PS RXS 4X2 MT Diesel,₹ 9.79 Lakh,"39,030",Diesel,Bangalore,2018
Mercedes-Benz C-Class C 200 Avantgarde Edition,₹ 30.56 Lakh,"27,236",Petrol,Bangalore,2018
Maruti Suzuki Celerio VXi,₹ 3.57 Lakh,"24,063",Petrol,Kolkata,2015
Volkswagen Polo Highline1.2L (P),₹ 5.21 Lakh,"59,819",Petrol,Mumbai,2015
Renault Kwid 1.0 RXT Opt,₹ 4.39 Lakh,"8,297",Petrol,Delhi,2019
Maruti Suzuki Dzire ZXi AMT,₹ 7.35 Lakh,"32,740",Petrol,Pune,2017
BMW 5 Series 520d Luxury Line [2017-2019],₹ 45.99 Lakh,"34,500",Diesel,Ahmedabad,2020
Kia Sonet GTX Plus 1.5 [2020-2021],₹ 14.19 Lakh,"25,007",Diesel,Pune,2020
Maruti Suzuki Ignis Sigma 1.2 MT,₹ 4.89 Lakh,"38,944",Petrol,Chennai,2019
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.05 Lakh,"72,757",Petrol,Delhi,2016
Volkswagen Vento Trendline Petrol,₹ 3.5 Lakh,"1,01,740 ",Petrol,Hyderabad,2010
Maruti Suzuki Celerio ZXi AMT [2019-2020],₹ 5.99 Lakh,"9,130",Petrol,Pune,2019
Honda Jazz V AT Petrol,₹ 6.75 Lakh,"48,650",Petrol,Mumbai,2017
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 10.29 Lakh,"40,314",Petrol,Pune,2016
Volvo XC90 D5 AWD,₹ 22.87 Lakh,"30,800",Diesel,Ahmedabad,2015
Maruti Suzuki Alto 800 Lxi CNG,₹ 3.45 Lakh,"33,000",CNG,Noida,2019
Hyundai Elite i20 Sportz 1.2 [2016-2017],₹ 7.9 Lakh,"54,000",Petrol,Hyderabad,2019
Honda City V,₹ 8.45 Lakh,"22,500",Petrol,Thane,2018
Toyota Glanza G CVT,₹ 8.49 Lakh,"29,866",Petrol,Bangalore,2020
Ford Aspire Titanium 1.2 Ti-VCT,₹ 5.35 Lakh,"65,000",Petrol,Noida,2017
Ford EcoSport Titanium 1.0 Ecoboost (Opt),₹ 4.75 Lakh,"78,822",Petrol,Faridabad,2014
Volkswagen Taigun GT Plus 1.5 TSI DSG,₹ 16.49 Lakh,"9,792",Petrol,Ahmedabad,2021
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 5.69 Lakh,"64,774",Petrol,Bangalore,2016
Toyota Fortuner 2.8 4x2 MT [2016-2020],₹ 33.75 Lakh,"31,283",Diesel,Bangalore,2018
Skoda Rapid Ambition 1.6 MPI AT,₹ 10.82 Lakh,"10,713",Petrol,Delhi,2020
Maruti Suzuki Baleno Zeta 1.2,₹ 6.99 Lakh,"13,127",Petrol,Kolkata,2021
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.25 Lakh,"50,000",Petrol,Thane,2016
Maruti Suzuki Alto 800 Lxi,₹ 3.25 Lakh,"35,340",Petrol,Pune,2018
Honda Jazz V AT Petrol,₹ 6.51 Lakh,"27,654",Petrol,Mumbai,2017
Hyundai Santro Sportz CNG [2018-2020],₹ 5.23 Lakh,"40,067",CNG,Pune,2018
Maruti Suzuki Baleno Delta 1.2,₹ 5.48 Lakh,"50,899",Petrol,Delhi,2018
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.6 Lakh,"52,000",Petrol,Thane,2017
Honda City S Petrol,₹ 6.95 Lakh,"51,292",Petrol,Thane,2017
Hyundai Elite i20 Magna Executive 1.2,₹ 5.19 Lakh,"19,905",Petrol,Kolkata,2017
Tata Nano Twist XT,₹ 1.1 Lakh,"18,000",Petrol,Ahmedabad,2015
Maruti Suzuki Ertiga VXI CNG,₹ 11.4 Lakh,"28,715",CNG,Thane,2021
Maruti Suzuki Ertiga Vxi CNG,₹ 7.21 Lakh,"69,161",CNG,Mumbai,2015
Maruti Suzuki S-Cross Zeta 1.3,₹ 8.87 Lakh,"54,571",Diesel,Pune,2017
Honda City VX CVT,₹ 7.75 Lakh,"25,000",Petrol,Thane,2016
Honda City VX,₹ 8.75 Lakh,"24,259",Petrol,Kolkata,2019
Maruti Suzuki Alto 800 Lxi,₹ 2.95 Lakh,"30,233",Petrol,Pune,2015
Mahindra Thar LX Hard Top Diesel AT,₹ 17.5 Lakh,"21,000",Diesel,Delhi,2021
Maruti Suzuki Ertiga VXI CNG,₹ 8.25 Lakh,"51,000",CNG,Thane,2017
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.5 Lakh,"23,137",Petrol,Thane,2016
Land Rover Discovery Sport HSE,₹ 26 Lakh,"1,59,070 ",Diesel,Hyderabad,2015
Maruti Suzuki Dzire VDi AMT,₹ 6.45 Lakh,"52,328",Diesel,Noida,2018
Maruti Suzuki Baleno RS 1.0,₹ 6.66 Lakh,"35,849",Petrol,Pune,2017
Hyundai Venue SX 1.0 Petrol [2019-2020],₹ 10.66 Lakh,"24,783",Petrol,Bangalore,2020
Maruti Suzuki Ciaz VXi,₹ 5 Lakh,"27,346",Petrol,Kolkata,2016
Hyundai i10 Magna 1.2 Kappa2,₹ 3.49 Lakh,"75,619",Petrol,Chennai,2014
Hyundai i10 Magna 1.2 Kappa2,₹ 2.45 Lakh,"54,000",Petrol,Kolkata,2013
Nissan Sunny XE,₹ 2.95 Lakh,"58,000",Petrol,Noida,2012
Jeep Wrangler Rubicon,₹ 65 Lakh,"27,340",Petrol,Hyderabad,2021
Maruti Suzuki Swift VXi AMT,₹ 6.3 Lakh,"17,000",Petrol,Pallikarnai,2020
Volkswagen Vento Highline 1.5 (D) AT,₹ 7.9 Lakh,"1,11,139 ",Diesel,Mumbai,2018
Hyundai Elantra 1.6 SX (O) AT,₹ 18.75 Lakh,"40,916",Diesel,Pune,2018
Honda WR-V VX MT Diesel,₹ 9.5 Lakh,"1,20,463 ",Diesel,Thiruvallur,2018
Honda BR-V VX Diesel,₹ 7.99 Lakh,"94,197",Diesel,Thane,2017
Maruti Suzuki Swift DZire VXI,₹ 4.24 Lakh,"76,859",Petrol,Pune,2014
Honda City S Petrol,₹ 7.25 Lakh,"33,000",Petrol,Ahmedabad,2017
Maruti Suzuki Baleno Delta 1.2,₹ 5.96 Lakh,"17,286",Petrol,Kolkata,2018
Mercedes-Benz GLA 220 d 4MATIC,₹ 28.5 Lakh,"40,484",Diesel,Bangalore,2017
Tata Tiago Revotorq XZ Plus,₹ 5.4 Lakh,"70,450",Diesel,Ahmedabad,2020
Honda City V,₹ 8.4 Lakh,"45,074",Petrol,Kolkata,2019
Hyundai Elite i20 Asta 1.4 CRDI,₹ 6.95 Lakh,"1,01,000 ",Diesel,Thane,2015
BMW 7 Series 760Li,₹ 59 Lakh,"22,000",Petrol,Ahmedabad,2016
Hyundai i20 Sportz 1.2 BS-IV,₹ 3.45 Lakh,"69,000",Petrol,Mumbai,2012
Maruti Suzuki Dzire VXi AMT,₹ 6.96 Lakh,"14,895",Petrol,Pune,2018
Tata Tiago XZ Plus CNG,₹ 8.1 Lakh,"11,444",CNG,Delhi,2022
Tata Tiago Revotron XE [2016-2019],₹ 4.14 Lakh,"32,120",Petrol,Delhi,2018
Toyota Fortuner 2.8 4x4 AT [2016-2020],₹ 33 Lakh,"64,300",Diesel,Ahmedabad,2019
Tata Harrier XZA Plus,₹ 22 Lakh,"30,503",Diesel,Thane,2021
Honda City SV Petrol [2019-2020],₹ 8.25 Lakh,"62,042",Petrol,Ahmedabad,2019
Mahindra TUV300 T8,₹ 7.45 Lakh,"1,22,924 ",Diesel,Hyderabad,2017
Ford EcoSport Titanium 1.5L Ti-VCT AT,₹ 6.9 Lakh,"37,000",Petrol,Ahmedabad,2016
Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),₹ 19.25 Lakh,"23,402",Petrol,Bangalore,2021
Audi A4 35 TFSI Premium Sunroof,₹ 17.25 Lakh,"35,000",Petrol,Mumbai,2015
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 6.39 Lakh,"38,657",Petrol,Pune,2017
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.45 Lakh,"64,000",Petrol,Hyderabad,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 5.1 Lakh,"35,094",Petrol,Pune,2018
Toyota Glanza G,₹ 7.3 Lakh,"18,000",Petrol,Thiruvallur,2021
Nissan Magnite XE,₹ 6.7 Lakh,"18,503",Petrol,Pune,2021
Ford EcoSport Titanium 1.5 Ti-VCT AT,₹ 8.25 Lakh,"30,000",Petrol,Delhi,2018
Honda Jazz ZX CVT,₹ 8.42 Lakh,"33,197",Petrol,Chennai,2020
Land Rover Range Rover Velar 2.0 R-Dynamic Petrol 250,₹ 77 Lakh,"39,800",Petrol,Thane,2019
Ford EcoSport Titanium .5L TDCi,₹ 6.9 Lakh,"83,000",Diesel,Ahmedabad,2016
BMW 3 Series GT 320d Luxury Line [2014-2016],₹ 36 Lakh,"36,00,000 ",Diesel,Pune,2019
Maruti Suzuki Swift ZXi Plus,₹ 7.15 Lakh,"24,783",Petrol,Kolkata,2021
Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],₹ 8.15 Lakh,"55,000",Diesel,Thane,2017
Hyundai Santro Sportz [2018-2020],₹ 5.54 Lakh,"11,844",Petrol,Pune,2019
Jeep Compass Limited (O) 2.0 Diesel 4x4 [2017-2020],₹ 16.95 Lakh,"37,430",Diesel,Hyderabad,2017
Mahindra XUV500 W8,₹ 8.79 Lakh,"81,682",Diesel,Bangalore,2013
Hyundai Xcent S 1.2,₹ 4.9 Lakh,"32,700",Petrol,Ahmedabad,2014
Honda WR-V VX MT Petrol,₹ 10.19 Lakh,"23,795",Petrol,Chennai,2021
Maruti Suzuki Swift DZire ZXI,₹ 5.18 Lakh,"37,188",Petrol,Pune,2015
Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.79 Lakh,"27,044",Petrol,Bangalore,2017
Hyundai Elite i20 Sportz 1.4 CRDI [2016-2017],₹ 6.6 Lakh,"52,451",Diesel,Hyderabad,2016
MG Hector Sharp 1.5 Petrol Turbo DCT,₹ 16.49 Lakh,"35,200",Petrol,Bangalore,2020
Hyundai Elite i20 Sportz 1.2,₹ 8.49 Lakh,"30,490",Petrol,Bangalore,2019
Maruti Suzuki Celerio ZXi AMT [2019-2020],₹ 5 Lakh,"65,000",Petrol,Thane,2019
Maruti Suzuki Alto 800 LXi CNG (O),₹ 3.49 Lakh,"36,427",CNG,Mumbai,2017
Hyundai Santro Sportz,₹ 5.89 Lakh,"47,873",Petrol,Pune,2020
Mahindra XUV500 W10,₹ 8.65 Lakh,"1,16,000 ",Diesel,Noida,2015
Volkswagen Taigun Topline 1.0 TSI AT,₹ 17.9 Lakh,"11,321",Petrol,Thane,2022
Hyundai Creta E Plus 1.6 Petrol,₹ 9.3 Lakh,"12,000",Petrol,Thane,2018
Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],₹ 6.95 Lakh,"23,671",Petrol,Bangalore,2018
Maruti Suzuki SX4 ZXi,₹ 1.6 Lakh,"58,000",Petrol,Kolkata,2009
Honda Amaze 1.2 V CVT Petrol [2018-2020],₹ 6.65 Lakh,"38,868",Petrol,Delhi,2018
Honda City VX CVT,₹ 7.95 Lakh,"33,613",Petrol,Mumbai,2016
Audi Q3 35 TDI Premium + Sunroof,₹ 20.5 Lakh,"90,246",Diesel,Ahmedabad,2016
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 5 Lakh,"58,005",Petrol,Thane,2018
Toyota Yaris V MT,₹ 9.8 Lakh,"44,000",Petrol,Hyderabad,2018
Maruti Suzuki Swift VXi AMT,₹ 7.04 Lakh,"28,151",Petrol,Delhi,2019
Hyundai Creta 1.6 E Petrol,₹ 7.45 Lakh,"59,233",Petrol,Noida,2015
Hyundai Grand i10 Era 1.1 CRDi [2016-2017],₹ 5 Lakh,"34,000",Diesel,Thiruvallur,2017
Maruti Suzuki Baleno Alpha 1.2,₹ 6.1 Lakh,"47,500",Petrol,Thane,2017
Honda City 1.5 V MT,₹ 3.25 Lakh,"82,000",Petrol,Thane,2010
Toyota Fortuner Legender 4X2 AT 2.8 Legender,₹ 48.5 Lakh,"28,000",Diesel,Pune,2021
Toyota Etios Cross 1.2 G,₹ 4.35 Lakh,"32,545",Petrol,Kolkata,2015
Honda City V,₹ 6.53 Lakh,"82,852",Petrol,Delhi,2014
Ford EcoSport Titanium 1.5 TDCi,₹ 5.99 Lakh,"56,615",Diesel,Thane,2015
Kia Seltos GTX Plus AT 1.4 [2019-2020],₹ 14.9 Lakh,"57,600",Petrol,Chennai,2019
Hyundai Grand i10 Magna 1.1 CRDi [2016-2017],₹ 6.2 Lakh,"30,704",Diesel,Hyderabad,2018
BMW X5 xDrive 30d,₹ 47.9 Lakh,"60,000",Diesel,Pune,2017
Maruti Suzuki Baleno Delta 1.2,₹ 5.27 Lakh,"14,813",Petrol,Delhi,2016
Fiat Punto Active 1.3,₹ 3.5 Lakh,"85,451",Diesel,Hyderabad,2014
Renault Kwid CLIMBER 1.0 AMT [2017-2019],₹ 4.25 Lakh,"39,736",Petrol,Mumbai,2017
Mercedes-Benz C-Class C 220 CDI Avantgarde,₹ 28.78 Lakh,"31,283",Diesel,Bangalore,2016
Honda City SV CVT,₹ 6.15 Lakh,"69,000",Petrol,Thane,2015
Maruti Suzuki XL6 Zeta AT Petrol,₹ 12.9 Lakh,"14,222",Petrol,Ahmedabad,2022
Honda City 1.5 S MT,₹ 3.45 Lakh,"63,000",Petrol,Mumbai,2011
Volkswagen Polo Comfortline 1.2L (D),₹ 2.9 Lakh,"57,261",Diesel,Kolkata,2013
Skoda Rapid Ambition 1.6 MPI AT,₹ 10.13 Lakh,"14,049",Petrol,Kolkata,2020
Hyundai Eon Era +,₹ 2.95 Lakh,"75,000",Petrol,Ahmedabad,2016
Maruti Suzuki S-Presso VXi Plus,₹ 4.76 Lakh,66,Petrol,Delhi,2021
Maruti Suzuki Dzire VDi,₹ 7.85 Lakh,"91,000",Diesel,Hyderabad,2018
Maruti Suzuki Ritz VXI BS-IV,₹ 2.35 Lakh,"39,900",Petrol,Thane,2011
Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],₹ 19.25 Lakh,"9,355",Petrol,Thane,2022
Maruti Suzuki Baleno Zeta 1.2 AT,₹ 7 Lakh,"55,000",Petrol,Thiruvallur,2018
Volkswagen Taigun Highline 1.0 TSI AT,₹ 17.49 Lakh,"16,777",Petrol,Bangalore,2021
Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],₹ 24.49 Lakh,"55,627",Diesel,Bangalore,2018
Maruti Suzuki Ertiga ZXi,₹ 5.95 Lakh,"67,590",Petrol,Mumbai,2014
Nissan Micra Active XV,₹ 3.25 Lakh,"16,937",Petrol,Kolkata,2017
Honda City V,₹ 8.75 Lakh,"36,000",Petrol,Mumbai,2018
Honda Amaze 1.2 VX MT Petrol [2018-2020],₹ 8.57 Lakh,"7,702",Petrol,Pune,2022
Maruti Suzuki S-Presso VXi Plus,₹ 4.54 Lakh,"50,729",Petrol,Pune,2020
BMW 3 Series 330i Sport Line,₹ 22.5 Lakh,"63,000",Petrol,Ahmedabad,2018
MINI Cooper Countryman Cooper D,₹ 14.75 Lakh,"46,251",Diesel,Ahmedabad,2014
Hyundai Verna 1.4 VTVT,₹ 5.9 Lakh,"67,000",Petrol,Ahmedabad,2016
Mercedes-Benz CLA 200 CDI Sport,₹ 25 Lakh,"52,295",Diesel,Hyderabad,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.92 Lakh,"52,460",Petrol,Pune,2015
Hyundai i20 Asta 1.2,₹ 4.3 Lakh,"41,429",Petrol,Pune,2012
Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],₹ 18.25 Lakh,"28,449",Petrol,Mumbai,2019
Hyundai Santro Sportz [2018-2020],₹ 5.26 Lakh,"57,588",Petrol,Pune,2019
Mercedes-Benz CLA 200 CDI Sport,₹ 16.49 Lakh,"51,500",Diesel,Kolkata,2015
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.9 Lakh,"53,830",Petrol,Ahmedabad,2018
Toyota Innova 2.5 G4 8 STR,₹ 4.25 Lakh,"1,20,000 ",Diesel,Thane,2009
Tata Indica V2 DLE BS-III,"₹ 60,000","50,000",Diesel,Pallikarnai,2007
Maruti Suzuki Alto 800 Lxi,₹ 3.1 Lakh,"68,000",Petrol,Hyderabad,2015
Maruti Suzuki Baleno Zeta,₹ 6.55 Lakh,"22,772",Petrol,Kolkata,2018
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.65 Lakh,"22,407",Petrol,Mumbai,2017
Hyundai Elite i20 Sportz 1.2 (O),₹ 6.3 Lakh,"61,546",Petrol,Pune,2018
Hyundai i20 Magna 1.2,₹ 3.1 Lakh,"68,000",Petrol,Noida,2012
Honda City SV CVT,₹ 6.9 Lakh,"45,000",Petrol,Ahmedabad,2015
MG Astor Sharp 1.5 CVT,₹ 16.85 Lakh,"4,946",Petrol,Thane,2021
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.64 Lakh,"13,889",Petrol,Pune,2017
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 16.92 Lakh,"23,409",Petrol,Pune,2019
Toyota Fortuner 2.8 4x2 AT [2016-2020],₹ 32.5 Lakh,"82,000",Diesel,Hyderabad,2017
Maruti Suzuki Celerio VXi,₹ 4.15 Lakh,"40,900",Petrol,Bangalore,2014
Mercedes-Benz A-Class A 200d,₹ 22.95 Lakh,"8,368",Diesel,Bangalore,2017
Toyota Fortuner 3.0 4x2 AT,₹ 16.49 Lakh,"1,07,281 ",Diesel,Bangalore,2012
Maruti Suzuki Swift VXi ABS,₹ 3.4 Lakh,"51,595",Petrol,Delhi,2013
Renault Kwid 1.0 RXT [2016-2019],₹ 4.6 Lakh,"22,541",Petrol,Bangalore,2018
Mercedes-Benz GLC 220 d Sport,₹ 44 Lakh,"46,000",Diesel,Pune,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.59 Lakh,"20,728",Petrol,Kolkata,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 5.95 Lakh,"44,868",Petrol,Bangalore,2019
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,₹ 7.33 Lakh,"18,631",Petrol,Pune,2019
Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],₹ 18.9 Lakh,"48,969",Diesel,Thane,2018
Toyota Innova Crysta ZX 2.4 7 STR,₹ 33.5 Lakh,"42,000",Diesel,Hyderabad,2022
Maruti Suzuki Wagon R ZXi 1.2,₹ 6.49 Lakh,"9,011",Petrol,Bangalore,2021
Honda City VX CVT,₹ 9.5 Lakh,"77,116",Petrol,Hyderabad,2015
Honda City Anniversary Edition Diesel,₹ 8.2 Lakh,"26,500",Diesel ,Ambattur,2018
Hyundai Creta SX Plus 1.6  Petrol,₹ 11.37 Lakh,"22,872",Petrol,Bangalore,2017
Volvo V40 D3 Kinetic,₹ 16 Lakh,"30,000",Diesel,Ahmedabad,2016
